date,num_transactions,total_units,total_revenue,total_profit,day_of_week,day_name,is_weekend,month,quarter,temperature,humidity,precipitation,sunshine_hours,wind_speed,weather_condition,event_name,event_type,event_impact_factor,season_factor,weekend_factor,temperature_factor,rain_factor,sunshine_factor,combined_demand_multiplier,temp_bin,season
2023-01-01,151,324,5752.0,3338.5,6,Sunday,1,1,1,13.7,54.0,0.0,1.4,7.0,Overcast,New Year,holiday,1.35,0.703,1.35,1.0,1.0,0.955,1.223,Cold (<15°C),Winter
2023-01-02,150,180,3159.0,1837.0,0,Monday,0,1,1,13.2,71.0,28.0,2.1,26.4,Rainy,,,1.0,0.702,1.0,1.0,0.78,0.961,0.526,Cold (<15°C),Winter
2023-01-03,133,175,2940.0,1755.5,1,Tuesday,0,1,1,10.5,50.0,2.9,0.0,9.1,Cloudy,,,1.0,0.701,1.0,0.9,1.0,0.944,0.596,Cold (<15°C),Winter
2023-01-04,188,249,4220.0,2460.5,2,Wednesday,0,1,1,15.1,45.0,3.7,1.8,12.3,Cloudy,,,1.0,0.701,1.0,1.0,1.0,0.958,0.672,Cool (15-20°C),Winter
2023-01-05,130,183,3479.0,1987.5,3,Thursday,0,1,1,10.4,61.0,0.0,2.3,16.2,Overcast,,,1.0,0.701,1.0,0.9,1.0,0.962,0.607,Cold (<15°C),Winter
2023-01-06,194,200,3676.0,2125.0,4,Friday,0,1,1,12.7,49.0,9.2,2.3,12.0,Rainy,,,1.0,0.7,1.0,1.0,0.78,0.962,0.526,Cold (<15°C),Winter
2023-01-07,170,231,4473.0,2529.5,5,Saturday,1,1,1,12.4,44.0,19.2,2.2,9.5,Rainy,,,1.0,0.7,1.35,1.0,0.78,0.962,0.709,Cold (<15°C),Winter
2023-01-08,162,224,4141.0,2367.0,6,Sunday,1,1,1,8.8,83.0,27.9,2.5,22.9,Rainy,,,1.0,0.7,1.35,0.9,0.78,0.964,0.64,Cold (<15°C),Winter
2023-01-09,154,199,3429.0,2002.0,0,Monday,0,1,1,14.7,57.0,1.7,1.5,10.9,Cloudy,,,1.0,0.7,1.0,1.0,1.0,0.956,0.669,Cold (<15°C),Winter
2023-01-10,145,186,3347.0,1907.5,1,Tuesday,0,1,1,11.6,63.0,0.0,2.5,9.0,Overcast,,,1.0,0.7,1.0,0.9,1.0,0.964,0.607,Cold (<15°C),Winter
2023-01-11,133,185,3526.0,2034.5,2,Wednesday,0,1,1,9.2,56.0,0.0,2.3,5.1,Overcast,,,1.0,0.7,1.0,0.9,1.0,0.962,0.607,Cold (<15°C),Winter
2023-01-12,143,226,3833.0,2219.0,3,Thursday,0,1,1,14.5,61.0,0.0,4.6,22.7,Overcast,,,1.0,0.7,1.0,1.0,1.0,0.981,0.687,Cold (<15°C),Winter
2023-01-13,140,186,3551.0,2035.0,4,Friday,0,1,1,12.1,49.0,15.9,0.5,5.8,Rainy,,,1.0,0.701,1.0,1.0,0.78,0.948,0.518,Cold (<15°C),Winter
2023-01-14,198,313,5398.0,3159.5,5,Saturday,1,1,1,16.0,44.0,0.0,1.6,17.2,Overcast,Revolution Day,holiday,1.2,0.701,1.35,1.0,1.0,0.957,1.087,Cool (15-20°C),Winter
2023-01-15,156,222,4020.0,2296.5,6,Sunday,1,1,1,12.6,65.0,10.0,2.0,22.7,Rainy,,,1.0,0.702,1.35,1.0,0.78,0.96,0.709,Cold (<15°C),Winter
2023-01-16,149,210,3786.0,2192.0,0,Monday,0,1,1,17.5,89.0,0.0,2.1,5.3,Overcast,,,1.0,0.702,1.0,1.0,1.0,0.961,0.675,Cool (15-20°C),Winter
2023-01-17,165,211,3879.0,2226.5,1,Tuesday,0,1,1,8.7,66.0,0.0,3.1,11.3,Overcast,,,1.0,0.703,1.0,0.9,1.0,0.969,0.613,Cold (<15°C),Winter
2023-01-18,156,217,3697.0,2178.0,2,Wednesday,0,1,1,14.1,47.0,2.7,2.3,7.1,Cloudy,,,1.0,0.704,1.0,1.0,1.0,0.962,0.677,Cold (<15°C),Winter
2023-01-19,174,241,4644.0,2624.5,3,Thursday,0,1,1,15.8,58.0,0.0,5.6,32.2,Partly Cloudy,,,1.0,0.705,1.0,1.0,1.0,0.989,0.697,Cool (15-20°C),Winter
2023-01-20,177,233,4509.0,2569.0,4,Friday,0,1,1,13.7,48.0,4.5,1.5,25.4,Cloudy,,,1.0,0.706,1.0,1.0,1.0,0.956,0.675,Cold (<15°C),Winter
2023-01-21,156,242,4395.0,2550.5,5,Saturday,1,1,1,5.2,59.0,1.0,2.1,9.7,Cloudy,,,1.0,0.707,1.35,0.9,1.0,0.961,0.825,Cold (<15°C),Winter
2023-01-22,150,283,5011.0,2948.0,6,Sunday,1,1,1,12.8,74.0,0.0,3.9,47.8,Overcast,,,1.0,0.708,1.35,1.0,1.0,0.975,0.932,Cold (<15°C),Winter
2023-01-23,140,183,3318.0,1910.0,0,Monday,0,1,1,7.6,55.0,0.3,1.9,5.6,Cloudy,,,1.0,0.709,1.0,0.9,1.0,0.959,0.612,Cold (<15°C),Winter
2023-01-24,182,240,4299.0,2486.0,1,Tuesday,0,1,1,20.8,60.0,1.3,1.7,13.1,Cloudy,,,1.0,0.71,1.0,1.0,1.0,0.958,0.68,Warm (20-25°C),Winter
2023-01-25,186,203,3664.0,2108.0,2,Wednesday,0,1,1,16.9,63.0,10.4,2.9,17.0,Rainy,,,1.0,0.712,1.0,1.0,0.78,0.967,0.537,Cool (15-20°C),Winter
2023-01-26,144,184,3399.0,1958.0,3,Thursday,0,1,1,9.4,47.0,0.0,3.9,9.6,Overcast,,,1.0,0.713,1.0,0.9,1.0,0.975,0.626,Cold (<15°C),Winter
2023-01-27,182,202,3515.0,2037.5,4,Friday,0,1,1,18.8,64.0,5.7,2.4,7.3,Rainy,,,1.0,0.715,1.0,1.0,0.78,0.963,0.537,Cool (15-20°C),Winter
2023-01-28,164,278,5299.0,3064.5,5,Saturday,1,1,1,10.1,46.0,0.0,6.2,6.8,Partly Cloudy,,,1.0,0.716,1.35,0.9,1.0,0.994,0.865,Cold (<15°C),Winter
2023-01-29,164,246,4516.0,2597.5,6,Sunday,1,1,1,11.5,52.0,0.0,3.4,17.9,Overcast,,,1.0,0.718,1.35,0.9,1.0,0.971,0.847,Cold (<15°C),Winter
2023-01-30,173,246,4306.0,2472.0,0,Monday,0,1,1,15.6,58.0,0.0,5.9,8.3,Partly Cloudy,,,1.0,0.72,1.0,1.0,1.0,0.991,0.714,Cool (15-20°C),Winter
2023-01-31,179,219,4109.0,2339.5,1,Tuesday,0,1,1,14.8,64.0,3.4,2.4,31.2,Cloudy,,,1.0,0.722,1.0,1.0,1.0,0.963,0.695,Cold (<15°C),Winter
2023-02-01,134,214,3722.0,2162.0,2,Wednesday,0,2,1,15.0,62.0,1.4,2.9,32.5,Cloudy,,,1.0,0.724,1.0,1.0,1.0,0.967,0.7,Cold (<15°C),Winter
2023-02-02,146,215,3944.0,2277.5,3,Thursday,0,2,1,15.1,49.0,1.4,3.5,17.7,Cloudy,,,1.0,0.726,1.0,1.0,1.0,0.972,0.705,Cool (15-20°C),Winter
2023-02-03,164,218,4399.0,2448.5,4,Friday,0,2,1,15.7,63.0,3.1,1.4,21.5,Cloudy,,,1.0,0.728,1.0,1.0,1.0,0.955,0.695,Cool (15-20°C),Winter
2023-02-04,157,280,4953.0,2872.0,5,Saturday,1,2,1,17.3,60.0,0.0,2.9,10.5,Overcast,,,1.0,0.73,1.35,1.0,1.0,0.967,0.953,Cool (15-20°C),Winter
2023-02-05,155,280,5525.0,3170.0,6,Sunday,1,2,1,14.9,47.0,0.0,3.0,11.0,Overcast,,,1.0,0.732,1.35,1.0,1.0,0.968,0.957,Cold (<15°C),Winter
2023-02-06,150,231,4170.0,2429.5,0,Monday,0,2,1,15.4,64.0,0.0,8.4,13.1,Partly Cloudy,,,1.0,0.735,1.0,1.0,1.0,1.011,0.743,Cool (15-20°C),Winter
2023-02-07,167,242,4458.0,2570.5,1,Tuesday,0,2,1,15.0,62.0,0.2,1.5,17.4,Cloudy,,,1.0,0.737,1.0,1.0,1.0,0.956,0.705,Cold (<15°C),Winter
2023-02-08,159,220,4017.0,2317.0,2,Wednesday,0,2,1,14.4,64.0,0.0,3.1,27.9,Overcast,,,1.0,0.74,1.0,1.0,1.0,0.969,0.717,Cold (<15°C),Winter
2023-02-09,133,190,3614.0,2085.0,3,Thursday,0,2,1,10.4,47.0,0.0,3.7,38.0,Overcast,,,1.0,0.742,1.0,0.9,1.0,0.974,0.65,Cold (<15°C),Winter
